user_question_title,user_question_body
Do we only need to submit one survey form for the company profile?,<p>Do we only need to submit one survey form for the company profile if we worked with a partner?</p>
Reminder: HW1 is due tomorrow by 2pm (and late day policy),"<p>This is a friendly reminder that <a href=""http://crowdsourcing-class.org/assignment1.html"" target=""_blank"">homework 1</a> is due tomorrow before class.  </p>
<p></p>
<p>I would also like to draw your attention to the course&#39;s late day policy (given on the <a href=""http://crowdsourcing-class.org"" target=""_blank"">course web page</a>).</p>
<blockquote>
<p dir=""ltr"">Everyone can have 5 free late days without penalty. After you have used your free late days, you will lose 20% per day (or fraction thereof) that your assignment is submitted late. The final project will have its own late day policy.</p>
</blockquote>
<p>You do not need to ask permission to use a late day.  Note that I have a strict policy of not granting additional late days for any reason, because I do not want to adjudicate what constitutes a fair excuse.  So if you exhaust your 5 free late days early, please do not ask for more.</p>"
Finding exact time of completion,<p>Is there a way to find out the exact time it took for a task to complete on crowdflower? I can only find Overall Rows Per Hour under Advanced Analytics &gt; Times.</p>
How do late days work for the final project?,<p>What if we need to use a late day for Friday?</p>
Tables in Markdown,"<p>I am having trouble finding a way to insert my tables into a md file. I looked online for formatting, but the suggestions don&#39;t seem to be working. Is it ok to submit as a pdf, or does it have to be an md file?</p>"
Search for Teammates!,"<script type=""text/javascript"">PA.load(""/dashboard/project_partners"", null, function(data){ $('#' + 'questionText').html(data);});</script> #pin"
Final project idea similar to PictureThis,"<p>Are we allowed to modify one of the past final project ideas shown to us in class? We have an interesting idea similar to PictureThis and wanted to make sure it&#39;s OK that it&#39;s similar.</p>
<p></p>
<p>Thanks!</p>"
Penn Play 16 post,"<p>Hi!</p>
<p></p>
<p>I&#39;m one of the organizers of <a href=""http://pennplay.org/"" target=""_blank"">Penn Play</a>, a 24-hour game jam that&#39;s happening this weekend on Saturday and Sunday. It&#39;s a bit like PennApps, where we have mentors, food, events, prizes, and a lot of of other cool things. Would it be alright if I made a Piazza note about Penn Play? </p>
<p></p>
<p>Thanks!</p>
<p></p>
<p>Tony</p>"
Modifying python_crawler and getting no results,"<p>I&#39;m editing the python_crawler.py (step 1 of part 1) and I&#39;ve changed both the URL at the top and the URL at the bottom to link to the Gun Violence Archive. However, when I run it in the same way that I ran the Gun Reports Blog one, I get 0 links. I&#39;m looking for advice on how to debug this. I have some understanding of the command line but not much, and even less understanding of Python, so I am not really sure where to start.</p>"
"Bing API: url, title, and date","<p>I&#39;m having trouble using xpath to get the URL, title, and date parsed out from the Bing API results. I know that using doc.xpath(&#34;//entry//url&#34;) will give me a list of items with the URLs, and doc.xpath(&#34;//entry//date&#34;) will similarly give me a list of items with the dates, but I&#39;d like to do both in the same loop (without having to iterate through two lists) — is there a way I can do this?</p>
<p></p>
<p>Thanks!</p>"
Crowdflower task stalled,"<p>I launched a task on Crowdflower around 3:30 and got ~200 responses within the first hour. However, it&#39;s been stalled at 222 judgements for the past hour or so. Any ideas why this might have happened?</p>"
What are biglab&#39;s specs?,"<p>Just out of curiosity, what are the technical specs for biglab? Is it a cluster computer? Supercomputer? 16GB RAM? 128GB RAM? </p>"
Using your classifier in HW4: Becoming a Requester,"<p>Hi everyone, </p>
<p></p>
<p>We&#39;ve had a chance to look through submissions for HW3 and while it&#39;ll be a few days before grades are ready to be sent out, we wanted to offer some feedback and clarification. Most of you had really high accuracies and many of you noted that accuracy was &#34;higher&#34; when you eliminated cross-validation because of overfitting (in the same way scores are higher when the midterm matches the practice test very closely). </p>
<p></p>
<p>X represented the full set of articles. y represented the labels. There were hundreds of thousands of unigram features, because features corresponded to each word that appeared (repeats did not contribute to # of features -- see &#39;that guy shot that other guy&#39; for an example). </p>
<p></p>
<p>This week, you are re-training your classifier on the full set of articles that we gave you last week (&#39;articles&#39; is the name of the text file) and then output predictions on the new URLs you collected. You&#39;ll want to modify the code for your statistical classifier to generate the labels for crowdworkers to check - the file on the assignment page is a great start towards that. </p>
<p></p>
<p>If you have any questions, please come to office hours sooner rather than later and post to Piazza if your question hasn&#39;t already been asked. Some parts of this assignment just take time to finish -- crawling, waiting for crowd worker judgements, the questionnaire -- and it&#39;s better to leave yourself time to debug. </p>"
IPython notebook,"<p>Are you having problems installing IPython notebook?  If so, discuss them here.</p>"
Final Project Part 2 has been released,"<p>FYI, the second part of the final project was released last night: <a href=""http://crowdsourcing-class.org/final-project-part2.html"">http://crowdsourcing-class.org/final-project-part2.html</a></p>
<p></p>
<p>There are two deliverables.  The first one is due on Saturday before 11:59pm.</p>"
Difference between detailed description of paper and lit review,"<p>On the website, it says that our paper should include a literature review as well as a detailed description of our paper. What&#39;s the difference between the two? Didn&#39;t we already do a detailed summary of our paper in the literature review and then describe its design in the later parts of the paper?</p>"
Confused about this statement in Crowds/2Seconds,"<p>&#34;To test how long we could keep workers primed, we experimented incremented retainer time to vary between 0.5 1 2 5 10 and 30 minutes. We scaled payment roughly linearly with retainer time : 2, 3, 4, 7, 12, 32 cents. &#34;</p>
<p></p>
<p>What does retainer time refer to? I thought it meant latency time but it doesn&#39;t make sense for them to pay someone more for a higher latency.</p>"
Mechanical Turk and API,"<p>If we&#39;re creating a web page that takes in information from some user, how do we use that information to create a hit on MTurk? More specifically, we&#39;re making a web page that accepts a question and we want post that question to MTurk. How can we use the TurKit to do that?</p>
<p></p>
<p>Thanks!</p>"
Same number of occurences for a given word,"<p>For the output that should look like </p>
<pre>-	17<br />lovely	13<br />lovely.	11<br />bare	9<br />really	8<br />fine	7<br />fruit.	6<br />nose.	6<br />quite	6<br />long.	5</pre>
<p>I am getting</p>
<pre>-	17<br />lovely	13<br />lovely.	11<br />bare	9<br />really	8<br />fine	7<br />fruit.	6<br />quite	6<br />nose.	6<br />touch	5</pre>
<p>touch occurs the same number of times as long., the only difference I think is the way my dictionary is ordered and thus the word I choose for that position. Is this ok?</p>"
Submitting IPython Bootcamp,"<p>I am trying to access eniac from terminal in order to submit the hw but I cannot figure out what eniac has as my password.</p>
<p></p>
<p>I am a SAS student so I haven&#39;t used eniac before but I signed up for a SEAS account a couple years ago while taking CIS110 (so I have access to the SEAS computers normally).</p>
<p></p>
<p>What should I do? Could I submit this hw by email and figure out eniac before the next hw? I did not anticipate this being an issue, I apologize for the last minute question.</p>"
CLF Correlation Coefficient,<p>How can I access the correlation coefficient (weight) for each of the terms in the CLF linear regression object? I believe we need this for &#34;get top features.&#34;</p>
Importing data into question labels,"<p>When designing the questions in CrowdFlower, how do we import our data (e.g., city_1, city_2, etc.) into the pulldown menu? I would have thought that we put {{city_1}}, {{city_2}}, etc. as the labels, but this gives me an error: &#39;{{city_1}}&#39; will show up in your results as &#39;city_1&#39;, which already exists as a header in your uploaded data.</p>
<p></p>
<p>How are we meant to label the answers in the pull down menu?</p>"
HW5 submission error,"<p>Hello, I submit my hw five prior to class on friday but have just realized that one of the code files was not in the submission directory I submit. Specifically it was predict_unlabelled.py. I have not changed the file at since submission and the only changes made to the original skeleton were using my old get_features from the prior hw assignment. Should I resubmit the entire assignment? I really dont want to lose 4 or 5 late days for this mistake, is there something I can do?</p>"
Nocera URLs,<p>Should we include these in our submission?</p>
Course selection period ends today,"<p>The course selection period ends today.  If you were shopping NETS 213 and do not intend to take it, please drop it today so that one of the 10 students on the waitlist can take your place.</p>
<p></p>
<p></p>"
Survey Responses,"<p>Would it be possible to see my responses to the survey I filled out for the research for the video project?  I stupidly forgot to save the information on my computer because I figured I would have access to the survey later on, and I think it would be counterproductive to redo all of my research.</p>"
www.crowd-workers.com/track ERROR 404,"<p>I&#39;m unable to complete the survey because attempting to visit the URL <a href=""http://www.crowd-workers.com/track"">www.crowd-workers.com/track</a> brings me to a 404 Error.</p>"
Installing and Running a Linux Virtual Machine,"<p>So if you spend a lot of yesterday&#39;s class obsessing over package incompatibilities or the fact that Windows was causing you undue misery, read on!</p>
<p></p>
<p>To ensure people don&#39;t have to worry about platform issues, we&#39;ve created a Linux (Ubuntu specifically) Virtual Machine that everyone can run and use for the course. The necessary packages such as iPython, virtualenv etc have already been pre-installed.</p>
<p></p>
<p>Instructions to download and run the VM can be found at <a href=""http://crowdsourcing-class.org/vm-instructions.html"">http://crowdsourcing-class.org/vm-instructions.html</a>. The link has also been provided under the Resources page on the course website. </p>
<p></p>
<p>This is the first time we&#39;re doing this so please use Piazza / Office Hours liberally if you run into any issues. Try and run Assignment 3 (Python Bootcamp) on the VM to make sure everything is working. </p>
<p></p>
<p></p>"
How to check my submission,"<p>I am really unsure how to check that I turned in my files. I tried </p>
<pre>ameliagoodman$ turnin -c nets213 -p gun-classifier -v hw4submission</pre>
<p>because I found that on Piazza but then I got </p>
<p></p>
<pre>drwxr-x--- ameliago/ameliago 0 2016-02-05 15:28 hw4submission/<br />-rw-r--r-- ameliago/ameliago 1248629 2016-02-05 15:26 hw4submission/Amelia Goodman.zip<br />Compressing submitted files... please wait<br />Your files have been submitted to nets213, gun-classifier for grading.</pre>
<p>which is the same thing I got when I submitted. So I&#39;m not sure if now my timestamp is going to be updated and counted as late, and I&#39;m still not sure if I submitted the right thing. Any suggestions?</p>
<p></p>
<p></p>"
HW8 turnin turned off?,"<p>Are the submissions for the latest homework open yet?</p>
<p>I tried to submit and received the error turnin: submissions for -crowdie have been turned off.</p>"
Take-aways from you classifier assignments,"<p>Hi all!</p>
<p></p>
<p>We have finished grading your classifier assignments, and you should get your grades shortly if you have not already (look for an email from Kate!). You guys did very well overall. It was not an easy assignment and there were a lot of new concepts that you had to take in (and new packages you had to install) all at once, so very well done. </p>
<p></p>
<p>There were two common points of confusion. Please feel free to ask questions here or in OHs if you are having trouble with these concepts, since they are important if you intend to do more ML in the future.</p>
<p></p>
<p><strong>What exactly are X and y? What are their dimensions? </strong></p>
<p>In short, y is a vector of labels (one label per article). X is a matrix of features (one row per article, one column per feature). (You might prefer to think of X as a list of vectors of features). A key point is that <span style=""text-decoration:underline"">every article has a value for every feature</span>-- so every article (row) has the same number of features (columns) associated with it. What changes are the values of those features (e.g. 0 or 1 in our assignment). Since the &#34;features&#34; in our case were words, <span style=""text-decoration:underline"">the number of features (number of columns of X) is equal to the number of words in our vocabulary</span> (this was probably ~300,000-500,000 in our dataset, depending on your preprocessing). If the word appeared in the article, the value for the word is 1 for that article, and if it did not appear, the value is 0. </p>
<p></p>
<p>You are not alone if you find this concept a bit abstract. The biggest hurdle to overcome when learning about ML is getting comfortable thinking about your data as a feature matrix. Once you have internalized this notion, the rest of ML is reasonably straightforward. Please, ask us questions!</p>
<p></p>
<p><strong>False positives and false negatives </strong></p>
<p>Many of you were confused by the concept of false positives and false negatives. <span style=""text-decoration:underline"">A *false positive* in our case is an article that should have been labeled &#34;not gun related&#34; (0) but was falsely labeled &#34;gun related&#34; (1).</span> These were likely articles with words like &#34;shoot&#34; but which referred to sports or movies instead of violent crimes. A *false negative* is an article that should have been labeled &#34;gun related&#34; (1) but was falsely labeled &#34;not gun related&#34; (0). Its good to think about these different types of errors when you are working on prediction tasks-- often different types of errors have different costs, or one type of error is worse than another.  (E.g. in medicine, tests that produce many false negatives are usually considered worse that ones that produce false positives. I&#39;m sure you can think of some reasons why?)</p>
<p> </p>
<p><strong>But what now? My life has been so empty since turning in that classifier assignment... </strong></p>
<p>Many of you have expressed interest in learning more about machine learning, and you should absolutely consider enrolling in <a href=""https://alliance.seas.upenn.edu/~cis520/wiki/"" target=""_blank"">penn&#39;s ML course</a> or <a href=""http://www.seas.upenn.edu/~cis519/fall2015/"" target=""_blank"">penn&#39;s intro ML course</a>. Or check out the <a href=""https://www.coursera.org/learn/machine-learning"" target=""_blank"">Coursera course</a> (crowdsourcing woot woot!). If you can&#39;t wait that long, you have all the freedom in the world to build an ML component into your final project, and we are more than happy to help you do so!</p>
<p></p>
<p>Hope everyone has a relaxing, happy weekend! </p>
<p></p>
<p>#pin</p>"
(Writeup) Quality Control,"<p>A little confused; the write up says we are working with the data from assignment 5 (Becoming a Requester), which makes sense since it has the URLs and our predictions. However, it discusses workers and credibility - so I&#39;m assuming we&#39;re also using the .csv from CrowdFlower/MTurk when we had them classify the urls.<br /><br />Where I get confused is how we&#39;re expected to use this data. In the Majority Vote and Weighted Majority Vote sections, do we write a python script to process the .csv (??) to get info from each relevant column for each section, and output a file? Is there some kind of recommended method, since it&#39;s not all that clear from the write up?</p>"
Group Project,<p>This is the link: https://github.com/benpleitner/NETS213-Final-Project</p>
Friday is the drop deadline,"<p>This is a friendly reminder that Friday (February 19th) is the drop deadline for this semester.</p>
<p></p>
<p>If you have any concerns about whether you should stay in NETS 213, or if you haven&#39;t received an email with your grades so far, then please stop by my office hours today (Wed February 17th) from 3pm-5pm.</p>
<p></p>
<p>--CCB</p>"
6 Files,<p>I am very confused about what the 6 files we are expected to have after Part 1. Can someone help me out?</p>
Crawler Not Working,"<p>I&#39;m printing all of the links in the Gun Violence Archive using the crawler and none of them are &#34;http&#34; links. This means the crawler is not correctly capturing the page content. What might be going wrong?</p>
<p><br />Note that when I print the source (from inside the crawl function) the internals of the webpage are not included. All that we see printed is some javascript code</p>"
ssh:dot command not found,"<p>Instead of seeing the decision tree printed I see an error message saying</p>
<p></p>
<p>ssh:dot command not found.</p>
<p></p>
<p>Sorry this is so late, but hoping to get some last minute help.</p>"
Number of URLs,"<p>The downloaded text file contains 100 urls, but the instructions say &#34;We’ve pulled together 400 of the urls your workers called “gun related” that you will use for this assignment.&#34; Are we supposed to have 400 or just the 100 given to us?</p>"
Class on Friday Before Spring Break,"<p>Just wondering, will we have class on the Friday before Spring Break?</p>"
turnin,"<p>Is there a way for us to see which files we turned in for a specific assignment, like #5?</p>"
X  of type list does not have a shape attribute,<p>After inserting print statements in getMatricies calling on X.shape it is throwing the error that list does not have a shape attribute.</p>
CrowdFlower_Data calculations,"<p>When I run the agreement between weighted_data and majority_data, I get a numerical kappa result. When I try to compare CrowdFlower_data against either of these files (where CrowdFlower_data is the file that was converted according to the given python script and looks to be accurate in terms of format), I get errors on every single one of the decimal values that look like the following:</p>
<p></p>
<p>Traceback (most recent call last):</p>
<p>  File &#34;kappa.py&#34;, line 27, in &lt;module&gt;</p>
<p>    Pe &#43;= ((dist1[r] / total1) * (dist2[r] / total2))</p>
<p>KeyError: &#39;0.9&#39;</p>
<p></p>
<p>Not sure what to do, but we can&#39;t seem to fix this issue in only the CrowdFlower_data.txt file?</p>"
Question about survey,"<p>My partner and I are signed up for the Netflix Prize problem but we are running into questions like &#34;what company are you profiling?&#34; Should we be focusing more on Netflix or the Netflix Prize itself?</p>
<p></p>
<p>Thanks!</p>"
Highlighting,Im not sure what the HINT about using  is saying to highlight elements of the text. I have never used HTML before so im a bit confused if this is supposed to happen when creating the HIT or in the convert_to_csv python script?
Nonexistent URL,"<p>What can I enter in the company URL section of the survey if my company is Silk Road? It doesn&#39;t really have a URL. Its .onion URL (the legitimate one at least) is hard to find. </p>
<p></p>
<p>Can I just leave this one blank?</p>"
TypeError: sparse matrix passed,"<p></p><p>I keep getting this error when I uncomment the diagram tree code:</p>
<p></p>
<p>TypeError: A sparse matrix was passed, but dense data is required. Use X.toarray() to convert to a dense numpy array.</p>
<p></p>
<p>I googled the error and it&#39;s telling me to convert X.todense() but I haven&#39;t seen this error elsewhere on Piazza ..</p>"
VM for Windows Users,"<p>Hey Guys,</p>
<p></p>
<p>If you&#39;re using <strong>Windows</strong>, we all <strong>strongly strongly recommend</strong> you download VirtualBox and the NETS 213 VM. This will make following the assignment much much easier. Please do this before class and set it up as downloading a large file may overload the Wifi in the classroom. Setup should take 10 minutes and please ask questions here if you run into issues.</p>
<p></p>
<p>Instructions to download and get the VM running can be found here : <a href=""http://crowdsourcing-class.org/vm-instructions.html"">http://crowdsourcing-class.org/vm-instructions.html</a>.</p>
<p></p>
<p></p>"
Office Hours,"Hey everyone,<div><br /></div><div>I&#39;ll have office hours starting today at 2:15 PM in the bump space.</div>"
404 error on Crowd Workers tracking page,"<p>When I try to access <a href=""http://crowd-workers.com/track"" target=""_blank"">http://crowd-workers.com/track</a> as per the survey instructions, I get redirected to <a href=""http://crowd-workers.com/nothingfound"">http://crowd-workers.com/nothingfound</a>. I assume this is supposed to read <a href=""http://crowd-workers.com/analytics"" target=""_blank"">http://crowd-workers.com/analytics</a>?</p>"
Survey dropdown,<p>Hi! The survey dropdown to choose which project you&#39;re reviewing is blank – how should we specify the projects?</p>
Scraping violence archive,"When I try to scrape the violence archive, I get: &#34;<p>Thanks for your interest in our statistics! Unfortunately, we must limit result sets for the general public. If you would like more information or the full result set, please send an email with your name, organization, project and needs to <a href=""https://www.piazza.com/cdn-cgi/l/email-protection#f89196898d918a81b89f8e99d68d8bd69b9795"" target=""_blank"">[email protected]</a></p>"
Copying files to BigLab,"<p>how would you be able to copy to biglab again? i went through this with TA in OH but I forgot. </p>
<p></p>
<p>It was along the lines of (code) (<a href=""mailto:username&#64;biglab.seas...&#64;"">username&#64;biglab.seas...&#64;</a>)(filename)</p>"
Issue with extract_text.py,"<p>As mentioned in a previous piazza post, I&#39;m getting a strange error when running extract_text.py in which I receive the following output:</p>
<p></p>
<p>ERROR \t url</p>
<p>ERROR \t url</p>
<p>ERROR \t url</p>
<p></p>
<p>for all my URLs. I&#39;m not sure what the problem could be, but I think it&#39;s a bad API call.</p>
<p></p>
<p>my code is as follows:</p>
<pre>def construct_api_call(url):
  #TODO modify this method to build a text extraction API call for the specified URL
  requeststr = &#39;http://access.alchemyapi.com/calls/url/URLGetText?apikey=[9245f4cc6f60f2e37fd4c7a2901b2bba66a85dec]&amp;url=[&#39; &#43; url.strip() &#43; &#39;]&amp;outputMode=json&#39;
  return requeststr</pre>
<p>and also</p>
<pre>for url in sys.stdin : 
  url = url.strip()
  txt = get_text(url)
  #TODO process each line of input, and output the url and clean text (separated by a tab)
  #HINT: make sure you check the return value of get_text(). If there is an error with the request, get_text 
  #will return None, and you should not print the line.
  if txt == None:
      continue
  else:
    print url &#43; &#39;\t&#39; &#43; txt &#43; &#39;\n&#39;</pre>
<p>Any help would be appreciated. I haven&#39;t been able to figure out the source of the problem.</p>"
IPython Bootcamp (participation) score report mailed,"<p>Hi Everyone!</p>
<p> </p>
<p>We just sent everyone emails about your IPython assignment. As a reminder it was graded for participation credit if you turned it in. No late days were deduced on this assignment. </p>
<p></p>
<p>The email was sent from &#34;nets213&#64;seas.upenn.edu&#34;. Please check your spam in case you don&#39;t find the email in your inbox.</p>"
Logistic Regression Question,"<p>I don&#39;t understand what this question  is asking:<br /><br />&#34;Logistic Regression learns weights for all the features you give it. This information is saved as the model&#39;s parameters, and sklearn makes it easy to look through what exactly the model learned. <strong>For each of the keywords you used in the rule-based classifier, what weight did your model assign to that word as a feature (for the positive, gun-related class)?</strong>&#34;</p>
<p></p>
<p>I understand which keywords it is referring to, but how are we supposed to find out the weights? What does it mean &#34;&#34;for the positive, gun-related class?</p>"
Pasting to HIT Group,"<p>&#34;Find it here: <a href=""https://www.google.com/url?q=http://crowd-workers.com/track?ordering%3D-reward&amp;sa=D&amp;ust=1453446222610000&amp;usg=AFQjCNFh4n7_lWrABXQDj9LgfUioCy3Ysg"">http://crowd-workers.com/track?ordering=-reward</a> and then click on the HIT title, and copy-and-paste a link to the HIT group (like <a href=""https://www.google.com/url?q=http://crowd-workers.com/hitgroup/3MGKBFT73MDAA4Y9Z9X7CPRXYV8SJC&amp;sa=D&amp;ust=1453446222610000&amp;usg=AFQjCNHnuvOdpUQFpRV6VQOlt1ha_Cuc-Q"">http://crowd-workers.com/hitgroup/3MGKBFT73MDAA4Y9Z9X7CPRXYV8SJC</a>).&#34;</p>
<p></p>
<p></p>
<p>How do you paste a link to the HIT group? I couldn&#39;t get the &#34;track&#34; url to work, but found the HIT through mturk.</p>"
Error when running classifier,"<p>When I run the classifier, I get the error: </p>
<p>Reading raw data</p>
<p>Loading training data</p>
<p>Traceback (most recent call last):</p>
<p>  File &#34;predict_unlabelled.py&#34;, line 65, in &lt;module&gt;</p>
<p>    y, X, texts, dv, le = get_matricies(training_data)</p>
<p>  File &#34;predict_unlabelled.py&#34;, line 31, in get_matricies</p>
<p>    texts = [d[1] for d in data]</p>
<p>IndexError: list index out of range</p>
<p></p>
<p>Which is an error indicated in part of the code we were given. Does anyone know why this is? </p>"
CrowdFlower Tasks,I&#39;ve signed up for CrowdFlower since  amazon rejected my mturk account. I can&#39;t figure out how to get any tasks. I&#39;m supposed to sign up with a partner channel that hosts tasks somehow but the ones I&#39;ve tried I cant seem to find any cloudflower tasks.
Convert to csv,"<p>Figured it out. Thanks! </p>
<p></p>"
Late submissions and turnin,"<p>Hi Everyone,</p>
<p></p>
<p>Many of you had trouble with turnin for the bootcamp, and sent us email submissions. As a general policy, we cannot accept submissions via email. For this assignment, we will not penalize late submissions, so if you have not yet submitted via turnin, or you are still having trouble using scp/ssh, reach out to us and let&#39;s get it figured out. </p>
<p></p>
<p>For future assignments, we will only consider an assignment to be submitted if it is submitted via turnin before the deadline. Keep in mind our late-day policy: you are allowed 5 total late days during the semester with no penalty. After that, we deduct one point per day late.</p>
<p></p>
<p>Everyone have a wonderful weekend!</p>
<p>Ellie</p>"
A fix to command prompt headaches,"<p>For anyone who is using Windows OS and might have trouble following some of the HW instructions </p>
<p>due to commands not being recognized, I found the following(unxutils) to be really helpful and it has worked </p>
<p>for all the commands I have come across so far in the assignments.</p>
<p></p>
<p><a href=""http://unxutils.sourceforge.net/"">http://unxutils.sourceforge.net/</a></p>
<p></p>
<p>and a helpful guide for getting it to work:</p>
<p></p>
<p><a href=""http://julienklepatch.com/improve-windows-command-line/"">http://julienklepatch.com/improve-windows-command-line/</a></p>
<p>not sure what Console2 is though</p>
<p></p>
<p></p>"
Issue with ipython[notebook] installation,"<p>Hi,</p>
<p>I had an issue with installing ipython using pip and could just get it done through anaconda.</p>
<p></p>
<p>In case any of you guys are having same issue, here&#39;s the link to download anaconda and instructions</p>
<p></p>
<p><a href=""https://www.continuum.io/downloads"">https://www.continuum.io/downloads</a></p>
<p></p>
<p>download whatever fits you and then run the command as the instruction says.</p>
<p></p>
<p>Then you could follow the &#34;in case you are using anaconda&#34; part in iPython Notebook installation guide from class web&#39;s resource page.</p>"
[iPython Notebook Error] Bad Interpreter: No such file or directory,"<p><img src=""https://d1b10bmlvqabco.cloudfront.net/attach/ijblb017ius5zp/hwl8na1baym4qp/ijwydxbuj4vu/Screen_Shot_20160127_at_9.44.27_AM.png"" /></p>
<p>I keep getting this error on the last step for installing iPython Notebook. Followed all of the instructions earlier and they seem to have all worked. </p>"
Poll: How long did it take you go get a Worker account on MTurk?,"<p>We are using this poll to see how long it takes Mechanical Turk to activate Worker accounts for students.  Please register to be a worker NOW at <a href=""https://www.mturk.com/mturk/welcome"">https://www.mturk.com/mturk/welcome</a> and then indicate on the poll that you have submitted your registration.  When you get it, please come back to this poll and update how long it took for MTurk to activate your account.</p>
<p></p>
<p></p>
<p>[o] I submitted my registration but I&#39;m still waiting to hear back
 [o] My account was activated in less than a day
 [o] My account was activated in 1-2 days
 [o] My account was activated, but it took more than 2 days
 [o] Amazon refused to give me an account</p>"
Issue with setting up virtual environment,"<p>I&#39;m going through the iPython install guide, and am running into a snag where when I run</p>
<pre>sudo pip install virtualenv </pre>
<p>I get an error message saying &#34;The directory &#39;/Users/oldgracearnold/Library/Caches/pip/http&#39; or its parent directory is not owned by the current user and the cache has been disabled. Please check the permissions and owner of that directory. If executing pip with sudo, you may want sudo&#39;s -H flag.&#34; </p>
<p>I&#39;ve also tried running the above command with an -H flag, to no avail.</p>
<p></p>
<p>I&#39;ve done a bit of searching and this StackOverflow post describes similar symptoms to what I&#39;m having: </p>
<p><a href=""http://stackoverflow.com/questions/27870003/pip-install-please-check-the-permissions-and-owner-of-that-directory"">http://stackoverflow.com/questions/27870003/pip-install-please-check-the-permissions-and-owner-of-that-directory</a></p>
<p>In particular, my command line used to be &#34;oldgracearnold$&#34; and now it&#39;s &#34;Graces-MBP:~ oldgracearnold$&#34;, which must have happened sometime during my install process? (I first installed Python 3, then decided to update my Python 2 from 2.5 to 2.7) </p>
<p></p>
<p>Anyway, because of all this, I haven&#39;t been able to set up my virtualenv and install iPython notebook. Any thoughts on what the problem could be?</p>
<p></p>"
HITS Pending status,<p>A lot of HITS I did are in pending status for a few days already. Should I just assume they accept me so that I can finish the survey or I have to wait till the last day to do the survey?</p>
Deviating from original experiment,"<p>How much can we deviate from the original experiment for this homework? For example, in the &#34;Financial Incentives and the Performance of Crowds&#34; paper, the researchers had workers order a list of traffic images — could we change the task to something else? (e.g. unscrambling sentences)</p>"
Simple Design Sample Not Viewable,"<p>I have tried to view the open-ended inputs example HIT shown on the instructions but am not able to view it. The URL is <a href=""https://tasks.crowdflower.com/assignments/74afb1ac-3e11-4487-b9ff-ddf5d6019eeb?cf_internal=true"">https://tasks.crowdflower.com/assignments/74afb1ac-3e11-4487-b9ff-ddf5d6019eeb?cf_internal=true</a> .</p>
<p>The page says that:</p>
<p></p>
<p>&#34;You&#39;ve timed out.</p>
<p>Darn! Looks like the timer reached zero before you were able to complete this task. Make sure to keep track of the timer while you&#39;re working.&#34;</p>
<p></p>
<p>Is there anything that I can do about this? Thanks!</p>"
Using Office Hours and Piazza,"<p>Hey All,</p>
<p></p>
<p>So there have been a lot of questions on Piazza regarding errors and incompatibility issues. I&#39;ve outlined a few suggestions below to make your life easier with regards getting through them.</p>
<p></p>
<p><strong>1. Using Piazza.</strong></p>
<p></p>
<p>Remotely debugging system issues are pretty challenging. To ensure that we can get an answer to you faster - please specify (a) The System you&#39;re using (Mac, Windows, Linux etc.) and how many bits (b) Which installer you used (Pip vs. Conda) (c) If you&#39;re running the VM or not. </p>
<p></p>
<p><strong>2. Search through Piazza</strong></p>
<p></p>
<p>More often than not the answer is already there on Piazza. Try and look through previous questions (especially ones endorsed by an instructor) to see if that solves your problem.</p>
<p></p>
<p><strong>3. Using Stack Overflow</strong></p>
<p></p>
<p>The best way to learn cool things and debug issues is to use the power of Crowdsourcing! Stack Overflow will definitely have the answer to your questions. As you take more advanced classes you&#39;ll need StackOverflow to try and debug more complicated issues so it will be super useful to get a head start right now. If you&#39;re ever in doubt of what StackOverflow is asking you to do - feel free to post the link and ask on Piazza.</p>
<p></p>
<p><strong>4. Using the VM</strong></p>
<p><strong></strong></p>
<p></p>
<p>Sometimes it makes more sense to just use a different platform which is pre-configured instead of trying to figure out why it doesn&#39;t work on your system. So I&#39;d suggest to everyone to use the VM. It&#39;s also super useful to get a hang of Linux (it&#39;s a rite of passage of sorts for any CS student). </p>
<p></p>
<p><strong>5. Office Hours</strong></p>
<p><strong></strong></p>
<p>Chances are if the above 3 haven&#39;t helped, Office Hours are the place to go. There are plenty spread throughout the week and more often than not you&#39;ll have at least one friendly NETS 213 TA hanging around Engineering - So swing by Office hours! </p>
<p></p>
<p>#pin</p>
<p></p>"
Student Ownership of Final Project?,"<p>For the NETS 213 final project, do we as students retain ownership of our projects? I know that some schools will hold the ownership rights, and just wanted some clarification on this policy for the NETS 213 course.</p>"
Find a team during Wednesday&#39;s class,"<p>We are going to use Wednesday&#39;s NETS 213 class period to form teams for the final projects.  If you do not yet have a team, or if your team has fewer than 3 team members, then you are required to attend tomorrow&#39;s class and form a team.  If your team only has 3 members then you&#39;re encouraged to go and see if you can pick up 1 or 2 new teammates. </p>
<p></p>
<p>I&#39;m traveling for a DARPA PI meeting, so the TAs will run the session.  You&#39;ll be asked to introduce yourselves (names, degree, year, etc), and say one project idea that you have (since the first team assignment is to brainstorm 3 ideas).  You should pair up with people by the end of class.  Don&#39;t leave without joining a team. </p>
<p></p>
<p></p>"
incorrect pennkey in submission,"Our submission yesterday had one pennkey which was incorrect, how can I go about fixing this?"
Quality Control,"<p>Are we suppose to have more than one judgement for each url? From the full report I&#39;ve downloaded, there is already one labeling for each url. What should I do with the data?</p>"
How to submit Deliverable 1?,<p></p>
